# تعريب Kentum — البذور المعدنية والحيوية
key	ar

Seed_Stone_Name	بذرة حجرية
Seed_Stone_Description	بذرة تُنبت نبتة حجرية.
Seed_Limestone_Name	بذرة الحجر الجيري
Seed_Limestone_Description	بذرة تُنبت نبتة من الحجر الجيري.
Seed_Clay_Name	بذرة طينية
Seed_Clay_Description	بذرة تُنبت نبتة طينية.
Seed_Copper_Name	بذرة نحاسية
Seed_Copper_Description	بذرة تُنبت نبتة نحاسية.
Seed_Gold_Name	بذرة ذهبية
Seed_Gold_Description	بذرة تُنبت نبتة ذهبية.
Seed_Platinum_Name	بذرة بلاتينية
Seed_Platinum_Description	بذرة تُنبت نبتة بلاتينية.
Seed_Gel_Name	بذرة هلامية
Seed_Gel_Description	بذرة تُنبت نبتة هلامية.
Seed_Silk_Name	بذرة حريرية
Seed_Silk_Description	بذرة تُنبت نبتة حريرية.
Seed_Fungal_Name	بذرة فطرية
Seed_Fungal_Description	بذرة تُنبت نبتة فطرية.
Seed_BiotechVine_Name	بذرة الكرمة الحيوية التقنية
Seed_BiotechVine_Description	بذرة تُنبت كرمة حيوية تقنية.
Seed_Bluranium_Name	بذرة البلورانيوم
Seed_Bluranium_Description	بذرة تُنبت نبتة البلورانيوم.
Seed_FrostPetal_Name	بذرة وردة الصقيع
Seed_FrostPetal_Description	بذرة تُنبت نبتة وردة الصقيع.
Seed_LightPod_Name	بذرة جراب الضوء
Seed_LightPod_Description	بذرة تُنبت نبتة الأرز البري.
Seed_OilPod_Name	بذرة جراب الزيت
Seed_OilPod_Description	بذرة تُنبت نبتة جراب الزيت.
Seed_TendrilRoot_Name	بذرة الجذر المحلاقي
Seed_TendrilRoot_Description	بذرة تُنبت نبتة الجذر المحلاقي.
Seed_ToxicNectar_Name	بذرة الرحيق السام
Seed_ToxicNectar_Description	بذرة تُنبت نبتة الرحيق السام.
Seed_WildRice_Name	بذرة الأرز البري
Seed_WildRice_Description	بذرة تُنبت نبتة الأرز البري.
